gene	chromosome	start	end	log2	depth	weight	n_bins	segment_weight	segment_probes
WASH7P	chr1	1	39999	-0.734345	0.0103057	1.39002	2	17.5524	22
OR4F5	chr1	59998	79997	-0.734345	0.00890045	0.36021	1	17.5524	22
LOC729737	chr1	119996	159994	-0.734345	0.0109225	1.52003	2	17.5524	22
LOC100132062	chr1	319988	339988	-0.734345	0.00885	0.931882	1	17.5524	22
OR4F3	chr1	619977	639976	-0.734345	0.00360018	0.995131	1	17.5524	22
UBE2J2	chr1	1179956	1219955	-0.490433	0.00904972	1.78449	2	27.0214	32
ACAP3	chr1	1239954	1259953	-0.490433	0.00530027	0.993189	1	27.0214	32
DVL1	chr1	1259953	1299952	-0.490433	0.00626109	1.28348	2	27.0214	32
AURKAIP1	chr1	1299952	1319951	-0.490433	0.00515026	0.906171	1	27.0214	32
MRPL20	chr1	1319951	1359949	-0.490433	0.00609962	1.8869	2	27.0214	32
VWA1	chr1	1359949	1379949	-0.490433	0.00715	0.73599	1	27.0214	32
ATAD3C	chr1	1379949	1419947	-0.490433	0.00995072	1.50206	2	27.0214	32
ATAD3B	chr1	1419947	1439946	-0.490433	0.019501	0.981626	1	27.0214	32
ATAD3A	chr1	1439946	1479945	-0.490433	0.00528347	1.98297	2	27.0214	32
SSU72	chr1	1479945	1519943	-0.490433	0.0137302	1.57887	2	27.0214	32
LOC105378586	chr1	1519943	1559942	-0.490433	0.00887911	1.93314	2	27.0214	32
CDK11B	chr1	1559942	1659938	-0.490433	0.00849665	3.87081	5	27.0214	32
SLC35E2A	chr1	1659938	1679937	-0.490433	0.00720036	0.948976	1	27.0214	32
NADK	chr1	1679937	1719936	-0.490433	0.014521	1.66579	2	27.0214	32
GNB1	chr1	1719936	1839931	-0.490433	0.00879271	4.96698	6	27.0214	32
CFAP74	chr1	1879930	1939927	-0.523238	0.0119468	2.73337	3	48.1902	59
GABRD	chr1	1939927	1979926	-0.523238	0.0123961	1.98488	2	48.1902	59
PRKCZ	chr1	1979926	2119921	-0.523238	0.0108207	5.60459	7	48.1902	59
FAAP20	chr1	2119921	2139920	-0.523238	0.00180009	0.913131	1	48.1902	59
SKI	chr1	2159919	2259915	-0.523238	0.0059578	4.23302	5	48.1902	59
MORN1	chr1	2259915	2339912	-0.523238	0.00681677	3.46226	4	48.1902	59
PEX10	chr1	2339912	2359912	-0.523238	0.0072	0.33402	1	48.1902	59
PLCH2	chr1	2379911	2439909	-0.523238	0.00448808	1.64597	3	48.1902	59
PANK4	chr1	2439909	2459908	-0.523238	0.0176509	0.996112	1	48.1902	59
LOC100996583	chr1	2479907	2519906	-0.523238	0.00901828	1.86899	2	48.1902	59
MMEL1	chr1	2519906	2579903	-0.523238	0.00445731	2.6401	3	48.1902	59
TTC34	chr1	2599903	2719898	-0.523238	0.00718694	1.50696	2	48.1902	59
PRDM16-DT	chr1	2959889	2979888	-0.523238	0.0122506	0.997538	1	48.1902	59
PRDM16	chr1	3019887	3359874	-0.523238	0.00985047	11.2031	13	48.1902	59
ARHGEF16	chr1	3359874	3379873	-0.523238	0.00885044	0.941469	1	48.1902	59
EPS15	chr1	51958045	51998044	-0.436464	0.00219977	1.47575	2	25.7919	32
CALR4P	chr1	52038042	52058041	-0.436464	0.00890045	0.8816	1	25.7919	32
OSBPL9	chr1	52078041	52258034	-0.436464	0.00830141	4.22016	6	25.7919	32
NRDC	chr1	52258034	52358030	-0.436464	0.00761624	3.37945	5	25.7919	32
RAB3B	chr1	52358030	52458026	-0.436464	0.0107668	3.9822	5	25.7919	32
TXNDC12	chr1	52478026	52538023	-0.436464	0.0113297	2.89415	3	25.7919	32
BTF3L4	chr1	52538023	52558023	-0.436464	0.00895	0.997835	1	25.7919	32
ZFYVE9	chr1	52618020	52698017	-0.436464	0.0088783	3.67433	4	25.7919	32
LINC01707	chr1	69637380	69657379	-0.620544	0	0.562917	1	11.1525	14
LINC01758	chr1	69897370	69917369	-0.620544	0.00540027	0.824432	1	11.1525	14
LRRC7	chr1	70277356	70617343	-1.61526	0.00544937	10.4392	13	10.4392	13
LRRC40	chr1	70657341	70677341	-0.784969	0.0036	0.903037	1	4.42932	5
SRSF11	chr1	70677341	70737338	-0.784969	0.00607838	2.64005	3	4.42932	5
ANKRD13C	chr1	70757338	70777337	-0.784969	0.00180009	0.886236	1	4.42932	5
ANKRD13C	chr1	70777337	70837335	-0.595035	0.00468469	2.57282	3	10.9308	13
CTH	chr1	70857334	70897332	-0.595035	0.00899967	1.74728	2	10.9308	13
